section_id	paragraph_id	source_line	text
building_a_biso_program	P34	162	For more information on the roles, responsibilities, and qualifications of a BISO see the Qualifications for the BISO Role section in Mapping the BISO Career: The Development of an Effective Business Information Security Officer. 
building_a_biso_program	P35	163	For suggestions on developing foundational support for the BISO to succeed, refer to the Cultural Support section of Structuring a BISO Role for Success: Responsibilities, Organizational Approaches, and Performance Indicators in the Business Information Security Officer Role 
building_a_biso_program	P36	164	For more information on training and maintaining BISO skills, see the Career Progression section in Mapping the BISO Career: The Development of an Effective Business Information Security Officer.
building_a_biso_program	P37	165	Next, develop an onboarding playbook. This can include the regulatory rules for the business line, standard practices across the enterprise and the business, and the processes for each business. Regularly update the onboarding playbook and any training materials.
building_a_biso_program	P38	166	Finally, recruit and train. 
building_a_biso_program	P39	167		•	Implement technology solutions 
building_a_biso_program	P40	168	Incorporate service management tools, self-service portals or other technology that supports the program. 
building_a_biso_program	P41	169		•	Enable success 
building_a_biso_program	P42	170	Promote a service-oriented culture that values service excellence, encourages collaboration, and enables efficiency – automation can streamline repetitive tasks.
building_a_biso_program	P43	171	Meanwhile, establish channels for collecting feedback and analyzing ways to improve services and mature the program. The BISO program can only be as mature as the enterprise. As the enterprise grows, the BISO will be able to contribute more and have greater impact. Begin with a subset of business lines and use the outcomes to improve the BISO role when expanding across the entire enterprise. 
building_a_biso_program	P44	173	References and Resource
building_a_biso_program	P45	174	Irei, A. (2021). What is the BISO role and is it necessary? [online] SearchSecurity. Available at: https://www.techtarget.com/searchsecurity/feature/What-is-the-BISO-role-and-is-it-necessary 
building_a_biso_program	P46	175	PrivSec Report (2025). A new role for the cybersecurity industry: Business Information Security Officer. GRC World Forums. Available at: https://www.grcworldforums.com/security/a-new-role-for-the-cybersecurity-industry-business-information-security-officer/97.article 
building_a_biso_program	P47	176	Team, S.N. (2019). Business Information Security Officer Role: ‘This Is What I Do’. Secureworld.io. Available at: https://www.secureworld.io/industry-news/business-information-security-officer-job-description
building_a_biso_program	P48	177	Jooble. (n.d.). Business Information Security Officer (BISO) Job Description. Available at: https://jooble.org/job-description/protective-service/business-information-security-officer-biso/ 
building_a_biso_program	P49	178	Hassanz (2022). What is a BISO? + everything else to know about the role. Check Point Blog. Available at: https://blog.checkpoint.com/executive-insights/what-is-a-biso-everything-else-to-know-about-the-role/ 
building_a_biso_program	P50	179	IANS. (n.d.). The BISO Role: Where Business Meets Security. Available at: https://www.iansresearch.com/resources/all-blogs/post/security-blog/2021/11/04/the-biso-role-where-business-meets-security
building_a_biso_program	P51	180	Cybersecurity Guide. (n.d.). Business information security officer: A complete career guide. Available at: https://cybersecurityguide.org/careers/business-information-security-officer/ 
building_a_biso_program	P52	181	Linkedin.com. (2025). Available at: https://www.linkedin.com/learning/cybersecurity-careers-become-a-business-information-security-officer-biso 
building_a_biso_program	P53	182	IANS. (n.d.). Does Your Business Need a BISO? Available at: https://www.iansresearch.com/resources/all-blogs/post/security-blog/2022/01/25/does-your-business-need-a-biso 
