file	line	text
templates/03_Monthly_Pulse_Survey.md	358	A: No, if you want to follow up on issues. Anonymous surveys don't let you help specific stakeholders. Promise confidentiality instead: "Your individual responses won't be shared, but I will follow up personally to address concerns."
prompts/BISO_Policy_Analysis_Prompt.yaml	15	- Hierarchy/placement patterns to detect: “line of business,” “first line,” “second line,” “risk advisory,” “governance,” “control oversight,” “RACI.”
prompts/BISO_Policy_Analysis_Prompt.yaml	44	- Sweep for synonyms/aliases using semantic matching and pattern cues (e.g., “business information security *”, “* ISO” near “business unit/LOB/division”, “first line” + “information security”).
prompts/BISO_Policy_Analysis_Prompt.yaml	54	policy_id: "{{doc_title_or_id}}"
prompts/BISO_Policy_Analysis_Prompt.yaml	55	effective_date: "{{yyyy-mm-dd_or_unknown}}"
prompts/BISO_Policy_Analysis_Prompt.yaml	61	- alias: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	63	- text_snippet: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	64	location: "Section X.Y / page / line"
prompts/BISO_Policy_Analysis_Prompt.yaml	67	- description: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	68	required_when: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	69	approver_or_grantor: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	70	citation: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	72	- duty: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	73	cadence: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	74	artifact_or_evidence: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	75	SLA_or_deadline: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	76	citation: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	78	- activity: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	79	responsible: ["BISO? other?"]
prompts/BISO_Policy_Analysis_Prompt.yaml	80	accountable: [""]
prompts/BISO_Policy_Analysis_Prompt.yaml	81	consulted: [""]
prompts/BISO_Policy_Analysis_Prompt.yaml	82	informed: [""]
prompts/BISO_Policy_Analysis_Prompt.yaml	83	citation: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	85	- activity_or_control: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	86	framework_ref: "NIST CSF 2.0 PR.AC-01 / ISO 27001 A.5.23 / etc."
prompts/BISO_Policy_Analysis_Prompt.yaml	87	justification: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	88	citation: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	90	- scenario: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	91	trigger: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	92	approver: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	93	max_duration: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	94	renewal_rules: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	95	citation: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	97	- metric: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	98	target_or_threshold: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	99	frequency: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	100	recipients: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	101	evidence_required: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	102	citation: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	104	- counterpart_role: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	105	interaction: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	106	cadence: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	107	citation: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	109	review_cadence: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	110	transition_periods: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	111	citation: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	113	- issue: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	114	impact: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	115	recommended_clarification: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	116	citation: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	118	- "[ ] item (who/when/what/evidence)"
prompts/BISO_Policy_Analysis_Prompt.yaml	120	- id: "C1"
prompts/BISO_Policy_Analysis_Prompt.yaml	121	section_heading: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	122	page_or_line: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	123	excerpt: ""
prompts/index.md	2	title: "Prompts"
prompts/index.md	3	description: "AI-assisted analysis prompts for BISO program policy analysis and security assessment"
_config.yml	1	title: "FS-ISAC BISO Program"
_config.yml	2	description: "Complete implementation framework for Business Information Security Officers in financial services"
_config.yml	3	url: "https://fornado-greenhouse.github.io"
_config.yml	4	baseurl: "/fs-isac-biso-program"
_config.yml	21	back_to_top_text: "Back to top"
_config.yml	52	path: ""
_config.yml	54	layout: "default"
guides/BISO_GUIDE-05_Technology_Strategy.md	2	title: "Technology Strategy"
guides/BISO_GUIDE-05_Technology_Strategy.md	3	description: "Technology integration strategy for BISO program tools, platforms, and automation capabilities"
guides/BISO_GUIDE-05_Technology_Strategy.md	4	parent: "Implementation Guides"
guides/index.md	2	title: "Implementation Guides"
guides/index.md	3	description: "Practical implementation guides for deploying BISO programs including quick reference, roadmaps, customization, and technology strategy"
guides/BISO_GUIDE-04_Customization.md	2	title: "Customization Guide"
guides/BISO_GUIDE-04_Customization.md	3	description: "Guidance for adapting the BISO framework to different organizational sizes, structures, and maturity levels"
guides/BISO_GUIDE-04_Customization.md	4	parent: "Implementation Guides"
guides/BISO_GUIDE-04_Customization.md	52	- **Original**: "The BISO program will report to the Chief Information Security Officer"
guides/BISO_GUIDE-04_Customization.md	53	- **Customized**: "The BISO program will report to the Chief Risk Officer with dotted-line to the CISO"
guides/BISO_GUIDE-04_Customization.md	516	- Map BISO governance activities to the new "Govern" function categories (GV.OC, GV.RM, GV.SC, GV.PO, GV.RR)
guides/BISO_GUIDE-04_Customization.md	521	- Position BISOs as primary business-side owners of the "Govern" function, particularly organizational context (GV.OC) and stakeholder coordination (GV.SC)
guides/BISO_GUIDE-02_Implementation.md	2	title: "Implementation Guide"
guides/BISO_GUIDE-02_Implementation.md	3	description: "Step-by-step deployment guide for implementing BISO programs with resource requirements and success criteria"
guides/BISO_GUIDE-02_Implementation.md	4	parent: "Implementation Guides"
guides/BISO_GUIDE-03_Roadmap.md	2	title: "Roadmap"
guides/BISO_GUIDE-03_Roadmap.md	3	description: "Implementation timeline with milestones, dependencies, and phase-gate criteria for BISO program rollout"
guides/BISO_GUIDE-03_Roadmap.md	4	parent: "Implementation Guides"
guides/BISO_GUIDE-01_Quick_Reference.md	2	title: "Quick Reference"
guides/BISO_GUIDE-01_Quick_Reference.md	3	description: "At-a-glance reference guide for BISO program key concepts, processes, decision frameworks, and quick-start checklists"
guides/BISO_GUIDE-01_Quick_Reference.md	4	parent: "Implementation Guides"
INDEX.md	2	title: "Cross-Reference Index"
INDEX.md	3	description: "Comprehensive cross-reference mapping between BISO whitepaper concepts and framework implementation documents"
INDEX.md	26	**Whitepaper Concept**: "What is a Business Information Security Officer?"
INDEX.md	34	**Whitepaper Concept**: "How BISOs differ from traditional security roles"
INDEX.md	42	**Whitepaper Concept**: "Value proposition and financial justification"
INDEX.md	50	**Whitepaper Concept**: "How to implement a BISO program"
INDEX.md	58	**Whitepaper Concept**: "Required BISO capabilities"
INDEX.md	66	**Whitepaper Concept**: "Where BISOs fit in the organization"
INDEX.md	74	**Whitepaper Concept**: "Building business relationships"
INDEX.md	82	**Whitepaper Concept**: "Business-aligned risk assessment"
INDEX.md	90	**Whitepaper Concept**: "BISO program metrics and KPIs"
INDEX.md	98	**Whitepaper Concept**: "BISO services and capabilities"
INDEX.md	106	**Whitepaper Concept**: "Industry-specific BISO considerations"
INDEX.md	114	**Whitepaper Concept**: "Technology enablement for BISOs"
INDEX.md	122	**Whitepaper Concept**: "Overcoming BISO implementation obstacles"
INDEX.md	189	### "No implementation timeline provided"
INDEX.md	195	### "Missing ROI justification"
INDEX.md	200	### "No job descriptions"
INDEX.md	205	### "Lacks metrics framework"
INDEX.md	210	### "No stakeholder engagement plan"
maturity/index.md	2	title: "Maturity Model"
maturity/index.md	3	description: "BISO program maturity assessment model with criteria-based progression aligned to implementation phases"
maturity/maturity_model.md	2	title: "Maturity Model & Assessment (Legacy URL)"
maturity/maturity_model.md	3	description: "Legacy URL retained for compatibility"
deliverables/BISOPRO-16_Competitive_Analysis.md	2	title: "Competitive Analysis"
deliverables/BISOPRO-16_Competitive_Analysis.md	3	description: "Industry benchmarking and competitive analysis of BISO program maturity across financial services organizations"
deliverables/BISOPRO-16_Competitive_Analysis.md	4	parent: "Phase 3: Strategic Value"
deliverables/BISOPRO-11_Business_Case_ROI.md	2	title: "Business Case & ROI Analysis"
deliverables/BISOPRO-11_Business_Case_ROI.md	3	description: "Financial justification and return on investment analysis for BISO program implementation in financial services"
deliverables/BISOPRO-11_Business_Case_ROI.md	4	parent: "Phase 3: Strategic Value"
deliverables/BISOPRO-17_Security_Consultation_Framework.md	2	title: "Security Consultation Framework"
deliverables/BISOPRO-17_Security_Consultation_Framework.md	3	description: "Advisory service framework defining how BISOs provide security guidance to business units and project teams"
deliverables/BISOPRO-17_Security_Consultation_Framework.md	4	parent: "Phase 3: Strategic Value"
deliverables/BISOPRO-24_Recruitment_Strategy.md	2	title: "Recruitment Strategy"
deliverables/BISOPRO-24_Recruitment_Strategy.md	3	description: "Talent acquisition strategy for recruiting qualified BISO professionals with security and business acumen"
deliverables/BISOPRO-24_Recruitment_Strategy.md	4	parent: "Phase 4: Continuous Improvement"
deliverables/BISOPRO-24_Recruitment_Strategy.md	263	- "Describe a complex security risk you identified and how you communicated it to business leadership." (Evaluates [Risk Assessment Methodology](./BISOPRO-12_Risk_Assessment_Methodology.md) and [Executive Briefing](./BISOPRO-13_Executive_Briefing_Framework.md) skills)
deliverables/BISOPRO-24_Recruitment_Strategy.md	264	- "How would you assess the security posture of a new business initiative?" (Tests [Security Consultation Framework](./BISOPRO-17_Security_Consultation_Framework.md#consultation-delivery-methodology))
deliverables/BISOPRO-24_Recruitment_Strategy.md	265	- "What frameworks do you use for risk assessment and how do you adapt them for business context?" (Assesses [Risk Assessment Methodology](./BISOPRO-12_Risk_Assessment_Methodology.md#business-context-analysis))
deliverables/BISOPRO-24_Recruitment_Strategy.md	266	- "Describe your experience with regulatory compliance and how you've helped organizations meet requirements." (Validates [Competitive Analysis](./BISOPRO-16_Competitive_Analysis.md#regulatory-landscape) knowledge)
deliverables/BISOPRO-24_Recruitment_Strategy.md	269	- "Tell me about a time when you had to balance security requirements with business objectives." (Tests [Independence Framework](./BISOPRO-18_Independence_Framework.md#balanced-decision-making))
deliverables/BISOPRO-24_Recruitment_Strategy.md	270	- "How do you approach cost-benefit analysis for security investments?" (Evaluates [Business Case ROI](./BISOPRO-11_Business_Case_ROI.md#roi-calculation-methodology) skills)
deliverables/BISOPRO-24_Recruitment_Strategy.md	271	- "Describe your experience working with business units on security requirements." (Assesses [Stakeholder Engagement](./BISOPRO-04_Stakeholder_Engagement_Protocols.md#business-unit-leadership-engagement))
deliverables/BISOPRO-24_Recruitment_Strategy.md	272	- "How do you stay informed about business strategy and incorporate it into security planning?" (Validates [Strategic Alignment](./BISOPRO-15_Strategic_Alignment.md#business-strategy-integration))
deliverables/BISOPRO-24_Recruitment_Strategy.md	277	- "Describe a presentation you've given to senior leadership about a security issue."
deliverables/BISOPRO-24_Recruitment_Strategy.md	278	- "How do you explain technical security concepts to non-technical stakeholders?"
deliverables/BISOPRO-24_Recruitment_Strategy.md	279	- "Tell me about a time when you had to deliver bad news about security to business leadership."
deliverables/BISOPRO-24_Recruitment_Strategy.md	280	- "How do you build credibility with skeptical stakeholders?"
deliverables/BISOPRO-24_Recruitment_Strategy.md	290	- "Describe how you build trust with new stakeholders."
deliverables/BISOPRO-24_Recruitment_Strategy.md	291	- "Tell me about a time when you had to influence someone without direct authority."
deliverables/BISOPRO-24_Recruitment_Strategy.md	292	- "How do you handle conflicts between security requirements and business needs?"
deliverables/BISOPRO-24_Recruitment_Strategy.md	293	- "Describe your experience managing vendor or third-party relationships."
deliverables/BISOPRO-12_Risk_Assessment_Methodology.md	2	title: "Risk Assessment Methodology"
deliverables/BISOPRO-12_Risk_Assessment_Methodology.md	3	description: "Structured risk evaluation methodology integrating business context with security risk analysis for informed decision-making"
deliverables/BISOPRO-12_Risk_Assessment_Methodology.md	4	parent: "Phase 3: Strategic Value"
deliverables/BISOPRO-10_Support_Structure.md	2	title: "Support Structure"
deliverables/BISOPRO-10_Support_Structure.md	3	description: "Program support mechanisms including tools, resources, and infrastructure needed for effective BISO operations"
deliverables/BISOPRO-10_Support_Structure.md	4	parent: "Phase 2: Structure"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	2	title: "Key Processes Implementation"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	3	description: "Core operational processes for BISO program execution including risk assessment, consultation, and reporting workflows"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	4	parent: "Phase 2: Structure"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	231	- "On a scale of 1-5, how satisfied are you with BISO support this quarter?"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	232	- "Did security help or hinder your business objectives this quarter?"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	235	- "Looking back, did security enable any business outcomes this year?"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	236	- "What could security do differently to be more helpful?"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	259	- Simple notes: "Relationship with Finance enabled faster compliance review" or "Partnership with Operations prevented security delay"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	264	- Example: "Early engagement with Marketing prevented 2-week security review delay"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	382	- Simple categorization in project log: "Early" (planning), "Mid" (development), "Late" (post-dev)
deliverables/BISOPRO-09_Key_Processes_Implementation.md	408	- Estimate development cost savings: "Early security review prevented 80 hours of rework"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	413	- Example: "Security review completed 3 days early, enabling $50K/day earlier revenue"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	588	- Estimate business value of informed decision-making: "Risk assessment prevented $200K compliance penalty"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	679	- Example: "BISO guidance reduced compliance preparation time by 40 hours"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	769	- Example: "Quick incident response limited business downtime to 2 hours vs. potential 8 hours"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	1096	- Relationship health: >80% of stakeholders rate relationship as "strong"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	1101	- Relationship health: 60-80% stakeholders rate relationship as "adequate" or better
deliverables/BISOPRO-15_Strategic_Alignment.md	2	title: "Strategic Alignment"
deliverables/BISOPRO-15_Strategic_Alignment.md	3	description: "Framework for aligning BISO security initiatives with enterprise business strategy and organizational objectives"
deliverables/BISOPRO-15_Strategic_Alignment.md	4	parent: "Phase 3: Strategic Value"
deliverables/BISOPRO-06_Authority_Framework.md	2	title: "Authority Framework"
deliverables/BISOPRO-06_Authority_Framework.md	3	description: "Decision rights and authority model defining BISO governance, escalation paths, and organizational accountability"
deliverables/BISOPRO-06_Authority_Framework.md	4	parent: "Phase 2: Structure"
deliverables/BISOPRO-06_Authority_Framework.md	8	# BISO Authority Framework: "Mini CISO" Model
deliverables/BISOPRO-06_Authority_Framework.md	43	This framework establishes the BISO as a "mini CISO" with delegated authority to make security decisions within their business unit scope, ensuring effective security leadership while maintaining appropriate oversight and escalation procedures. This framework implements the authority structure defined in our [Charter](./BISOPRO-01_Charter.md#authority-and-decision-rights) and directly addresses the decision-making challenges identified in our [Problem Statement](./BISOPRO-02_Problem_Statement.md#inconsistent-risk-management). The framework supports the operational processes outlined in our [Key Processes Implementation](./BISOPRO-09_Key_Processes_Implementation.md) and aligns with the independence requirements specified in our [Independence Framework](./BISOPRO-18_Independence_Framework.md).
deliverables/BISOPRO-06_Authority_Framework.md	47	### "Mini CISO" Concept
deliverables/BISOPRO-02_Problem_Statement.md	2	title: "Problem Statement"
deliverables/BISOPRO-02_Problem_Statement.md	3	description: "Analysis of business-security gaps and organizational challenges that the BISO program addresses in financial services"
deliverables/BISOPRO-02_Problem_Statement.md	4	parent: "Phase 1: Foundation"
deliverables/BISOPRO-25_Escalation_Decision_Framework.md	2	title: "Escalation Decision Framework"
deliverables/BISOPRO-25_Escalation_Decision_Framework.md	3	description: "Decision framework for escalating security issues through appropriate organizational channels with clear criteria"
deliverables/BISOPRO-25_Escalation_Decision_Framework.md	4	parent: "Phase 4: Continuous Improvement"
deliverables/BISOPRO-25_Escalation_Decision_Framework.md	375	**Best Practice**: "When in doubt, escalate early"
deliverables/BISOPRO-21_Challenge_Mitigation_Framework.md	2	title: "Challenge Mitigation Framework"
deliverables/BISOPRO-21_Challenge_Mitigation_Framework.md	3	description: "Proactive framework for identifying, assessing, and mitigating common BISO program implementation challenges"
deliverables/BISOPRO-21_Challenge_Mitigation_Framework.md	4	parent: "Phase 4: Continuous Improvement"
deliverables/BISOPRO-21_Challenge_Mitigation_Framework.md	245	"I understand there are different perspectives on [specific issue].
deliverables/BISOPRO-21_Challenge_Mitigation_Framework.md	248	both security and [business objective]."
deliverables/BISOPRO-21_Challenge_Mitigation_Framework.md	253	"This seems to be a complex issue affecting multiple areas. Would it
deliverables/BISOPRO-21_Challenge_Mitigation_Framework.md	256	concerns while managing the security risks?"
deliverables/BISOPRO-21_Challenge_Mitigation_Framework.md	261	"I've been working with [stakeholder names] on [specific issue] and
deliverables/BISOPRO-21_Challenge_Mitigation_Framework.md	265	[security implications]."
deliverables/BISOPRO-21_Challenge_Mitigation_Framework.md	270	"This decision involves significant risk trade-offs that exceed my
deliverables/BISOPRO-21_Challenge_Mitigation_Framework.md	273	and recommended options for executive decision."
deliverables/BISOPRO-21_Challenge_Mitigation_Framework.md	356	- Stakeholder complaints about BISO "overreach"
deliverables/BISOPRO-05_Success_Metrics.md	2	title: "Success Metrics Framework"
deliverables/BISOPRO-05_Success_Metrics.md	3	description: "Relationship-first measurement system emphasizing trust, stakeholder engagement, and practical business outcomes for BISO programs"
deliverables/BISOPRO-05_Success_Metrics.md	4	parent: "Phase 1: Foundation"
deliverables/BISOPRO-05_Success_Metrics.md	113	1. **Primary NTS question (0-10):** "How likely are you to recommend early BISO involvement for a major business initiative in your area?"
deliverables/BISOPRO-05_Success_Metrics.md	151	**Measurement**: Annual advocacy survey and referral tracking. Includes questions such as "Have you recommended BISO involvement to a colleague this quarter?" and "Would you cite the BISO team as a positive example of security-business partnership?"
deliverables/BISOPRO-05_Success_Metrics.md	406	**Philosophy**: The PDF whitepaper emphasizes that "there are no industry-wide metrics specific to the BISO role" and highlights relationship-based success measures. This framework balances quantitative business metrics with qualitative relationship health indicators that better reflect the BISO's unique value proposition.
deliverables/BISOPRO-05_Success_Metrics.md	426	- **Target**: >75% of stakeholders view BISO as "business partner with security expertise"
deliverables/BISOPRO-05_Success_Metrics.md	622	│ │ Security as Enabler: 74% G | Recent Comments: "Excellent support!" │ │
deliverables/BISOPRO-05_Success_Metrics.md	938	- **Scenario Planning**: Automated "what-if" analysis for strategic decisions
deliverables/BISOPRO-05_Success_Metrics.md	1018	- "Which metrics most influence your business decisions?"
deliverables/BISOPRO-05_Success_Metrics.md	1019	- "What security-related business outcomes are we not measuring?"
deliverables/BISOPRO-05_Success_Metrics.md	1020	- "How could we make these metrics more actionable for your team?"
deliverables/BISOPRO-05_Success_Metrics.md	1021	- "What additional context would make these metrics more valuable?"
deliverables/BISOPRO-23_Core_Competencies_Development.md	2	title: "Core Competencies Development"
deliverables/BISOPRO-23_Core_Competencies_Development.md	3	description: "Competency development framework defining essential skills and knowledge areas for effective BISO practitioners"
deliverables/BISOPRO-23_Core_Competencies_Development.md	4	parent: "Phase 4: Continuous Improvement"
deliverables/BISOPRO-04_Stakeholder_Engagement_Protocols.md	2	title: "Stakeholder Engagement Protocols"
deliverables/BISOPRO-04_Stakeholder_Engagement_Protocols.md	3	description: "Structured communication and engagement protocols for BISO interactions with executives, business units, and security teams"
deliverables/BISOPRO-04_Stakeholder_Engagement_Protocols.md	4	parent: "Phase 1: Foundation"
deliverables/BISOPRO-04_Stakeholder_Engagement_Protocols.md	462	☐ Ask "how can I help you succeed?" in every engagement
deliverables/BISOPRO-20_Professional_Development_Framework.md	2	title: "Professional Development Framework"
deliverables/BISOPRO-20_Professional_Development_Framework.md	3	description: "Career development pathways and professional growth framework for BISO practitioners at all experience levels"
deliverables/BISOPRO-20_Professional_Development_Framework.md	4	parent: "Phase 3: Strategic Value"
deliverables/BISOPRO-13_Executive_Briefing_Framework.md	2	title: "Executive Briefing Framework"
deliverables/BISOPRO-13_Executive_Briefing_Framework.md	3	description: "Executive communication framework for presenting security posture, risk status, and program value to senior leadership"
deliverables/BISOPRO-13_Executive_Briefing_Framework.md	4	parent: "Phase 3: Strategic Value"
deliverables/BISOPRO-13_Executive_Briefing_Framework.md	178	│ │ • Regulatory Positioning: "Best Practice" recognition from examiners │ │
deliverables/BISOPRO-13_Executive_Briefing_Framework.md	215	- "Best Practice" regulatory recognition from federal examiners
deliverables/BISOPRO-13_Executive_Briefing_Framework.md	278	│ │ • Regulatory Excellence: "Best Practice" examiner recognition │ │
deliverables/BISOPRO-18_Independence_Framework.md	2	title: "Independence Framework"
deliverables/BISOPRO-18_Independence_Framework.md	3	description: "Framework ensuring BISO objectivity and independence while maintaining collaborative business unit relationships"
deliverables/BISOPRO-18_Independence_Framework.md	4	parent: "Phase 3: Strategic Value"
deliverables/BISOPRO-22_Business_Evolution_Framework.md	2	title: "Business Evolution Framework"
deliverables/BISOPRO-22_Business_Evolution_Framework.md	3	description: "Adaptive framework ensuring BISO programs evolve with changing business conditions and emerging security threats"
deliverables/BISOPRO-22_Business_Evolution_Framework.md	4	parent: "Phase 4: Continuous Improvement"
deliverables/BISOPRO-03_Alignment_Model_Analysis.md	2	title: "Alignment Model Analysis"
deliverables/BISOPRO-03_Alignment_Model_Analysis.md	3	description: "Framework for aligning security objectives with business strategy through structured organizational integration"
deliverables/BISOPRO-03_Alignment_Model_Analysis.md	4	parent: "Phase 1: Foundation"
deliverables/BISOPRO-14_Executive_Sponsorship_Plan.md	2	title: "Executive Sponsorship Plan"
deliverables/BISOPRO-14_Executive_Sponsorship_Plan.md	3	description: "Strategy for securing and maintaining executive sponsorship essential for BISO program success and organizational influence"
deliverables/BISOPRO-14_Executive_Sponsorship_Plan.md	4	parent: "Phase 3: Strategic Value"
deliverables/BISOPRO-14_Executive_Sponsorship_Plan.md	225	│ │ "BISO program delivers competitive advantage through: │ │
deliverables/BISOPRO-14_Executive_Sponsorship_Plan.md	228	│ │ • Industry leadership position in security maturity" │ │
