file	line	classification	rationale	text
prompts/BISO_Policy_Analysis_Prompt.yaml	55	template_or_prompt	Prompt/template structure	effective_date: "{{yyyy-mm-dd_or_unknown}}"
prompts/BISO_Policy_Analysis_Prompt.yaml	61	template_or_prompt	Prompt/template structure	- alias: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	63	template_or_prompt	Prompt/template structure	- text_snippet: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	64	template_or_prompt	Prompt/template structure	location: "Section X.Y / page / line"
prompts/BISO_Policy_Analysis_Prompt.yaml	67	template_or_prompt	Prompt/template structure	- description: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	68	template_or_prompt	Prompt/template structure	required_when: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	69	template_or_prompt	Prompt/template structure	approver_or_grantor: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	70	template_or_prompt	Prompt/template structure	citation: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	72	template_or_prompt	Prompt/template structure	- duty: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	73	template_or_prompt	Prompt/template structure	cadence: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	74	template_or_prompt	Prompt/template structure	artifact_or_evidence: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	75	template_or_prompt	Prompt/template structure	SLA_or_deadline: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	76	template_or_prompt	Prompt/template structure	citation: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	78	template_or_prompt	Prompt/template structure	- activity: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	79	template_or_prompt	Prompt/template structure	responsible: ["BISO? other?"]
prompts/BISO_Policy_Analysis_Prompt.yaml	80	template_or_prompt	Prompt/template structure	accountable: [""]
prompts/BISO_Policy_Analysis_Prompt.yaml	81	template_or_prompt	Prompt/template structure	consulted: [""]
prompts/BISO_Policy_Analysis_Prompt.yaml	82	template_or_prompt	Prompt/template structure	informed: [""]
prompts/BISO_Policy_Analysis_Prompt.yaml	83	template_or_prompt	Prompt/template structure	citation: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	85	template_or_prompt	Prompt/template structure	- activity_or_control: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	86	template_or_prompt	Prompt/template structure	framework_ref: "NIST CSF 2.0 PR.AC-01 / ISO 27001 A.5.23 / etc."
prompts/BISO_Policy_Analysis_Prompt.yaml	87	template_or_prompt	Prompt/template structure	justification: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	88	template_or_prompt	Prompt/template structure	citation: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	90	template_or_prompt	Prompt/template structure	- scenario: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	91	template_or_prompt	Prompt/template structure	trigger: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	92	template_or_prompt	Prompt/template structure	approver: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	93	template_or_prompt	Prompt/template structure	max_duration: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	94	template_or_prompt	Prompt/template structure	renewal_rules: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	95	template_or_prompt	Prompt/template structure	citation: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	97	template_or_prompt	Prompt/template structure	- metric: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	98	template_or_prompt	Prompt/template structure	target_or_threshold: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	99	template_or_prompt	Prompt/template structure	frequency: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	100	template_or_prompt	Prompt/template structure	recipients: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	101	template_or_prompt	Prompt/template structure	evidence_required: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	102	template_or_prompt	Prompt/template structure	citation: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	104	template_or_prompt	Prompt/template structure	- counterpart_role: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	105	template_or_prompt	Prompt/template structure	interaction: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	106	template_or_prompt	Prompt/template structure	cadence: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	107	template_or_prompt	Prompt/template structure	citation: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	109	template_or_prompt	Prompt/template structure	review_cadence: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	110	template_or_prompt	Prompt/template structure	transition_periods: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	111	template_or_prompt	Prompt/template structure	citation: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	113	template_or_prompt	Prompt/template structure	- issue: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	114	template_or_prompt	Prompt/template structure	impact: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	115	template_or_prompt	Prompt/template structure	recommended_clarification: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	116	template_or_prompt	Prompt/template structure	citation: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	118	template_or_prompt	Prompt/template structure	- "[ ] item (who/when/what/evidence)"
prompts/BISO_Policy_Analysis_Prompt.yaml	120	template_or_prompt	Prompt/template structure	- id: "C1"
prompts/BISO_Policy_Analysis_Prompt.yaml	121	template_or_prompt	Prompt/template structure	section_heading: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	122	template_or_prompt	Prompt/template structure	page_or_line: ""
prompts/BISO_Policy_Analysis_Prompt.yaml	123	template_or_prompt	Prompt/template structure	excerpt: ""
prompts/index.md	2	front_matter	YAML metadata field	title: "Prompts"
prompts/index.md	3	front_matter	YAML metadata field	description: "AI-assisted analysis prompts for BISO program policy analysis and security assessment"
guides/BISO_GUIDE-05_Technology_Strategy.md	2	front_matter	YAML metadata field	title: "Technology Strategy"
guides/BISO_GUIDE-05_Technology_Strategy.md	3	front_matter	YAML metadata field	description: "Technology integration strategy for BISO program tools, platforms, and automation capabilities"
guides/BISO_GUIDE-05_Technology_Strategy.md	4	front_matter	YAML metadata field	parent: "Implementation Guides"
guides/index.md	2	front_matter	YAML metadata field	title: "Implementation Guides"
guides/index.md	3	front_matter	YAML metadata field	description: "Practical implementation guides for deploying BISO programs including quick reference, roadmaps, customization, and technology strategy"
guides/BISO_GUIDE-04_Customization.md	2	front_matter	YAML metadata field	title: "Customization Guide"
guides/BISO_GUIDE-04_Customization.md	3	front_matter	YAML metadata field	description: "Guidance for adapting the BISO framework to different organizational sizes, structures, and maturity levels"
guides/BISO_GUIDE-04_Customization.md	4	front_matter	YAML metadata field	parent: "Implementation Guides"
guides/BISO_GUIDE-04_Customization.md	52	example_language	Quoted prose/example/dialogue	- **Original**: "The BISO program will report to the Chief Information Security Officer"
guides/BISO_GUIDE-04_Customization.md	53	example_language	Quoted prose/example/dialogue	- **Customized**: "The BISO program will report to the Chief Risk Officer with dotted-line to the CISO"
guides/BISO_GUIDE-04_Customization.md	516	example_language	Quoted prose/example/dialogue	- Map BISO governance activities to the new "Govern" function categories (GV.OC, GV.RM, GV.SC, GV.PO, GV.RR)
guides/BISO_GUIDE-04_Customization.md	521	example_language	Quoted prose/example/dialogue	- Position BISOs as primary business-side owners of the "Govern" function, particularly organizational context (GV.OC) and stakeholder coordination (GV.SC)
guides/BISO_GUIDE-02_Implementation.md	2	front_matter	YAML metadata field	title: "Implementation Guide"
guides/BISO_GUIDE-02_Implementation.md	3	front_matter	YAML metadata field	description: "Step-by-step deployment guide for implementing BISO programs with resource requirements and success criteria"
guides/BISO_GUIDE-02_Implementation.md	4	front_matter	YAML metadata field	parent: "Implementation Guides"
guides/BISO_GUIDE-03_Roadmap.md	2	front_matter	YAML metadata field	title: "Roadmap"
guides/BISO_GUIDE-03_Roadmap.md	3	front_matter	YAML metadata field	description: "Implementation timeline with milestones, dependencies, and phase-gate criteria for BISO program rollout"
guides/BISO_GUIDE-03_Roadmap.md	4	front_matter	YAML metadata field	parent: "Implementation Guides"
guides/BISO_GUIDE-01_Quick_Reference.md	2	front_matter	YAML metadata field	title: "Quick Reference"
guides/BISO_GUIDE-01_Quick_Reference.md	3	front_matter	YAML metadata field	description: "At-a-glance reference guide for BISO program key concepts, processes, decision frameworks, and quick-start checklists"
guides/BISO_GUIDE-01_Quick_Reference.md	4	front_matter	YAML metadata field	parent: "Implementation Guides"
INDEX.md	2	front_matter	YAML metadata field	title: "Cross-Reference Index"
INDEX.md	3	front_matter	YAML metadata field	description: "Comprehensive cross-reference mapping between BISO whitepaper concepts and framework implementation documents"
INDEX.md	26	example_language	Quoted prose/example/dialogue	**Whitepaper Concept**: "What is a Business Information Security Officer?"
INDEX.md	34	example_language	Quoted prose/example/dialogue	**Whitepaper Concept**: "How BISOs differ from traditional security roles"
INDEX.md	42	example_language	Quoted prose/example/dialogue	**Whitepaper Concept**: "Value proposition and financial justification"
INDEX.md	50	example_language	Quoted prose/example/dialogue	**Whitepaper Concept**: "How to implement a BISO program"
INDEX.md	58	example_language	Quoted prose/example/dialogue	**Whitepaper Concept**: "Required BISO capabilities"
INDEX.md	66	example_language	Quoted prose/example/dialogue	**Whitepaper Concept**: "Where BISOs fit in the organization"
INDEX.md	74	example_language	Quoted prose/example/dialogue	**Whitepaper Concept**: "Building business relationships"
INDEX.md	82	example_language	Quoted prose/example/dialogue	**Whitepaper Concept**: "Business-aligned risk assessment"
INDEX.md	90	example_language	Quoted prose/example/dialogue	**Whitepaper Concept**: "BISO program metrics and KPIs"
INDEX.md	98	example_language	Quoted prose/example/dialogue	**Whitepaper Concept**: "BISO services and capabilities"
INDEX.md	106	example_language	Quoted prose/example/dialogue	**Whitepaper Concept**: "Industry-specific BISO considerations"
INDEX.md	114	example_language	Quoted prose/example/dialogue	**Whitepaper Concept**: "Technology enablement for BISOs"
INDEX.md	122	example_language	Quoted prose/example/dialogue	**Whitepaper Concept**: "Overcoming BISO implementation obstacles"
INDEX.md	189	example_language	Quoted prose/example/dialogue	### "No implementation timeline provided"
INDEX.md	195	example_language	Quoted prose/example/dialogue	### "Missing ROI justification"
INDEX.md	200	example_language	Quoted prose/example/dialogue	### "No job descriptions"
INDEX.md	205	example_language	Quoted prose/example/dialogue	### "Lacks metrics framework"
INDEX.md	210	example_language	Quoted prose/example/dialogue	### "No stakeholder engagement plan"
maturity/index.md	2	front_matter	YAML metadata field	title: "Maturity Model"
maturity/index.md	3	front_matter	YAML metadata field	description: "BISO program maturity assessment model with criteria-based progression aligned to implementation phases"
maturity/maturity_model.md	2	front_matter	YAML metadata field	title: "Maturity Model & Assessment (Legacy URL)"
maturity/maturity_model.md	3	front_matter	YAML metadata field	description: "Legacy URL retained for compatibility"
deliverables/BISOPRO-16_Competitive_Analysis.md	2	front_matter	YAML metadata field	title: "Competitive Analysis"
deliverables/BISOPRO-16_Competitive_Analysis.md	3	front_matter	YAML metadata field	description: "Industry benchmarking and competitive analysis of BISO program maturity across financial services organizations"
deliverables/BISOPRO-16_Competitive_Analysis.md	4	front_matter	YAML metadata field	parent: "Phase 3: Strategic Value"
deliverables/BISOPRO-11_Business_Case_ROI.md	2	front_matter	YAML metadata field	title: "Business Case & ROI Analysis"
deliverables/BISOPRO-11_Business_Case_ROI.md	3	front_matter	YAML metadata field	description: "Financial justification and return on investment analysis for BISO program implementation in financial services"
deliverables/BISOPRO-11_Business_Case_ROI.md	4	front_matter	YAML metadata field	parent: "Phase 3: Strategic Value"
deliverables/BISOPRO-17_Security_Consultation_Framework.md	2	front_matter	YAML metadata field	title: "Security Consultation Framework"
deliverables/BISOPRO-17_Security_Consultation_Framework.md	3	front_matter	YAML metadata field	description: "Advisory service framework defining how BISOs provide security guidance to business units and project teams"
deliverables/BISOPRO-17_Security_Consultation_Framework.md	4	front_matter	YAML metadata field	parent: "Phase 3: Strategic Value"
deliverables/BISOPRO-24_Recruitment_Strategy.md	2	front_matter	YAML metadata field	title: "Recruitment Strategy"
deliverables/BISOPRO-24_Recruitment_Strategy.md	3	front_matter	YAML metadata field	description: "Talent acquisition strategy for recruiting qualified BISO professionals with security and business acumen"
deliverables/BISOPRO-24_Recruitment_Strategy.md	4	front_matter	YAML metadata field	parent: "Phase 4: Continuous Improvement"
deliverables/BISOPRO-24_Recruitment_Strategy.md	263	example_language	Quoted prose/example/dialogue	- "Describe a complex security risk you identified and how you communicated it to business leadership." (Evaluates [Risk Assessment Methodology](./BISOPRO-12_Risk_Assessment_Methodology.md) and [Executive Briefing](./BISOPRO-13_Executive_Briefing_Framework.md) skills)
deliverables/BISOPRO-24_Recruitment_Strategy.md	264	example_language	Quoted prose/example/dialogue	- "How would you assess the security posture of a new business initiative?" (Tests [Security Consultation Framework](./BISOPRO-17_Security_Consultation_Framework.md#consultation-delivery-methodology))
deliverables/BISOPRO-24_Recruitment_Strategy.md	265	example_language	Quoted prose/example/dialogue	- "What frameworks do you use for risk assessment and how do you adapt them for business context?" (Assesses [Risk Assessment Methodology](./BISOPRO-12_Risk_Assessment_Methodology.md#business-context-analysis))
deliverables/BISOPRO-24_Recruitment_Strategy.md	266	example_language	Quoted prose/example/dialogue	- "Describe your experience with regulatory compliance and how you've helped organizations meet requirements." (Validates [Competitive Analysis](./BISOPRO-16_Competitive_Analysis.md#regulatory-landscape) knowledge)
deliverables/BISOPRO-24_Recruitment_Strategy.md	269	example_language	Quoted prose/example/dialogue	- "Tell me about a time when you had to balance security requirements with business objectives." (Tests [Independence Framework](./BISOPRO-18_Independence_Framework.md#balanced-decision-making))
deliverables/BISOPRO-24_Recruitment_Strategy.md	270	example_language	Quoted prose/example/dialogue	- "How do you approach cost-benefit analysis for security investments?" (Evaluates [Business Case ROI](./BISOPRO-11_Business_Case_ROI.md#roi-calculation-methodology) skills)
deliverables/BISOPRO-24_Recruitment_Strategy.md	271	example_language	Quoted prose/example/dialogue	- "Describe your experience working with business units on security requirements." (Assesses [Stakeholder Engagement](./BISOPRO-04_Stakeholder_Engagement_Protocols.md#business-unit-leadership-engagement))
deliverables/BISOPRO-24_Recruitment_Strategy.md	272	example_language	Quoted prose/example/dialogue	- "How do you stay informed about business strategy and incorporate it into security planning?" (Validates [Strategic Alignment](./BISOPRO-15_Strategic_Alignment.md#business-strategy-integration))
deliverables/BISOPRO-24_Recruitment_Strategy.md	277	example_language	Quoted prose/example/dialogue	- "Describe a presentation you've given to senior leadership about a security issue."
deliverables/BISOPRO-24_Recruitment_Strategy.md	278	example_language	Quoted prose/example/dialogue	- "How do you explain technical security concepts to non-technical stakeholders?"
deliverables/BISOPRO-24_Recruitment_Strategy.md	279	example_language	Quoted prose/example/dialogue	- "Tell me about a time when you had to deliver bad news about security to business leadership."
deliverables/BISOPRO-24_Recruitment_Strategy.md	280	example_language	Quoted prose/example/dialogue	- "How do you build credibility with skeptical stakeholders?"
deliverables/BISOPRO-24_Recruitment_Strategy.md	290	example_language	Quoted prose/example/dialogue	- "Describe how you build trust with new stakeholders."
deliverables/BISOPRO-24_Recruitment_Strategy.md	291	example_language	Quoted prose/example/dialogue	- "Tell me about a time when you had to influence someone without direct authority."
deliverables/BISOPRO-24_Recruitment_Strategy.md	292	example_language	Quoted prose/example/dialogue	- "How do you handle conflicts between security requirements and business needs?"
deliverables/BISOPRO-24_Recruitment_Strategy.md	293	example_language	Quoted prose/example/dialogue	- "Describe your experience managing vendor or third-party relationships."
deliverables/BISOPRO-12_Risk_Assessment_Methodology.md	2	front_matter	YAML metadata field	title: "Risk Assessment Methodology"
deliverables/BISOPRO-12_Risk_Assessment_Methodology.md	3	front_matter	YAML metadata field	description: "Structured risk evaluation methodology integrating business context with security risk analysis for informed decision-making"
deliverables/BISOPRO-12_Risk_Assessment_Methodology.md	4	front_matter	YAML metadata field	parent: "Phase 3: Strategic Value"
deliverables/BISOPRO-10_Support_Structure.md	2	front_matter	YAML metadata field	title: "Support Structure"
deliverables/BISOPRO-10_Support_Structure.md	3	front_matter	YAML metadata field	description: "Program support mechanisms including tools, resources, and infrastructure needed for effective BISO operations"
deliverables/BISOPRO-10_Support_Structure.md	4	front_matter	YAML metadata field	parent: "Phase 2: Structure"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	2	front_matter	YAML metadata field	title: "Key Processes Implementation"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	3	front_matter	YAML metadata field	description: "Core operational processes for BISO program execution including risk assessment, consultation, and reporting workflows"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	4	front_matter	YAML metadata field	parent: "Phase 2: Structure"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	231	example_language	Quoted prose/example/dialogue	- "On a scale of 1-5, how satisfied are you with BISO support this quarter?"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	232	example_language	Quoted prose/example/dialogue	- "Did security help or hinder your business objectives this quarter?"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	235	example_language	Quoted prose/example/dialogue	- "Looking back, did security enable any business outcomes this year?"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	236	example_language	Quoted prose/example/dialogue	- "What could security do differently to be more helpful?"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	259	example_language	Quoted prose/example/dialogue	- Simple notes: "Relationship with Finance enabled faster compliance review" or "Partnership with Operations prevented security delay"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	264	example_language	Quoted prose/example/dialogue	- Example: "Early engagement with Marketing prevented 2-week security review delay"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	382	example_language	Quoted prose/example/dialogue	- Simple categorization in project log: "Early" (planning), "Mid" (development), "Late" (post-dev)
deliverables/BISOPRO-09_Key_Processes_Implementation.md	408	example_language	Quoted prose/example/dialogue	- Estimate development cost savings: "Early security review prevented 80 hours of rework"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	413	example_language	Quoted prose/example/dialogue	- Example: "Security review completed 3 days early, enabling $50K/day earlier revenue"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	588	example_language	Quoted prose/example/dialogue	- Estimate business value of informed decision-making: "Risk assessment prevented $200K compliance penalty"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	679	example_language	Quoted prose/example/dialogue	- Example: "BISO guidance reduced compliance preparation time by 40 hours"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	769	example_language	Quoted prose/example/dialogue	- Example: "Quick incident response limited business downtime to 2 hours vs. potential 8 hours"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	1096	example_language	Quoted prose/example/dialogue	- Relationship health: >80% of stakeholders rate relationship as "strong"
deliverables/BISOPRO-09_Key_Processes_Implementation.md	1101	example_language	Quoted prose/example/dialogue	- Relationship health: 60-80% stakeholders rate relationship as "adequate" or better
deliverables/BISOPRO-15_Strategic_Alignment.md	2	front_matter	YAML metadata field	title: "Strategic Alignment"
deliverables/BISOPRO-15_Strategic_Alignment.md	3	front_matter	YAML metadata field	description: "Framework for aligning BISO security initiatives with enterprise business strategy and organizational objectives"
deliverables/BISOPRO-15_Strategic_Alignment.md	4	front_matter	YAML metadata field	parent: "Phase 3: Strategic Value"
deliverables/BISOPRO-06_Authority_Framework.md	2	front_matter	YAML metadata field	title: "Authority Framework"
deliverables/BISOPRO-06_Authority_Framework.md	3	front_matter	YAML metadata field	description: "Decision rights and authority model defining BISO governance, escalation paths, and organizational accountability"
deliverables/BISOPRO-06_Authority_Framework.md	4	front_matter	YAML metadata field	parent: "Phase 2: Structure"
deliverables/BISOPRO-06_Authority_Framework.md	8	example_language	Quoted prose/example/dialogue	# BISO Authority Framework: "Mini CISO" Model
deliverables/BISOPRO-06_Authority_Framework.md	43	example_language	Quoted prose/example/dialogue	This framework establishes the BISO as a "mini CISO" with delegated authority to make security decisions within their business unit scope, ensuring effective security leadership while maintaining appropriate oversight and escalation procedures. This framework implements the authority structure defined in our [Charter](./BISOPRO-01_Charter.md#authority-and-decision-rights) and directly addresses the decision-making challenges identified in our [Problem Statement](./BISOPRO-02_Problem_Statement.md#inconsistent-risk-management). The framework supports the operational processes outlined in our [Key Processes Implementation](./BISOPRO-09_Key_Processes_Implementation.md) and aligns with the independence requirements specified in our [Independence Framework](./BISOPRO-18_Independence_Framework.md).
deliverables/BISOPRO-06_Authority_Framework.md	47	example_language	Quoted prose/example/dialogue	### "Mini CISO" Concept
deliverables/BISOPRO-02_Problem_Statement.md	2	front_matter	YAML metadata field	title: "Problem Statement"
deliverables/BISOPRO-02_Problem_Statement.md	3	front_matter	YAML metadata field	description: "Analysis of business-security gaps and organizational challenges that the BISO program addresses in financial services"
deliverables/BISOPRO-02_Problem_Statement.md	4	front_matter	YAML metadata field	parent: "Phase 1: Foundation"
deliverables/BISOPRO-25_Escalation_Decision_Framework.md	2	front_matter	YAML metadata field	title: "Escalation Decision Framework"
deliverables/BISOPRO-25_Escalation_Decision_Framework.md	3	front_matter	YAML metadata field	description: "Decision framework for escalating security issues through appropriate organizational channels with clear criteria"
deliverables/BISOPRO-25_Escalation_Decision_Framework.md	4	front_matter	YAML metadata field	parent: "Phase 4: Continuous Improvement"
deliverables/BISOPRO-25_Escalation_Decision_Framework.md	375	example_language	Quoted prose/example/dialogue	**Best Practice**: "When in doubt, escalate early"
deliverables/BISOPRO-21_Challenge_Mitigation_Framework.md	2	front_matter	YAML metadata field	title: "Challenge Mitigation Framework"
deliverables/BISOPRO-21_Challenge_Mitigation_Framework.md	3	front_matter	YAML metadata field	description: "Proactive framework for identifying, assessing, and mitigating common BISO program implementation challenges"
deliverables/BISOPRO-21_Challenge_Mitigation_Framework.md	4	front_matter	YAML metadata field	parent: "Phase 4: Continuous Improvement"
deliverables/BISOPRO-21_Challenge_Mitigation_Framework.md	245	example_language	Quoted prose/example/dialogue	"I understand there are different perspectives on [specific issue].
deliverables/BISOPRO-21_Challenge_Mitigation_Framework.md	248	example_language	Quoted prose/example/dialogue	both security and [business objective]."
deliverables/BISOPRO-21_Challenge_Mitigation_Framework.md	253	example_language	Quoted prose/example/dialogue	"This seems to be a complex issue affecting multiple areas. Would it
deliverables/BISOPRO-21_Challenge_Mitigation_Framework.md	256	example_language	Quoted prose/example/dialogue	concerns while managing the security risks?"
deliverables/BISOPRO-21_Challenge_Mitigation_Framework.md	261	example_language	Quoted prose/example/dialogue	"I've been working with [stakeholder names] on [specific issue] and
deliverables/BISOPRO-21_Challenge_Mitigation_Framework.md	265	example_language	Quoted prose/example/dialogue	[security implications]."
deliverables/BISOPRO-21_Challenge_Mitigation_Framework.md	270	example_language	Quoted prose/example/dialogue	"This decision involves significant risk trade-offs that exceed my
deliverables/BISOPRO-21_Challenge_Mitigation_Framework.md	273	example_language	Quoted prose/example/dialogue	and recommended options for executive decision."
deliverables/BISOPRO-21_Challenge_Mitigation_Framework.md	356	example_language	Quoted prose/example/dialogue	- Stakeholder complaints about BISO "overreach"
